ID,0,1,2,3,4,5,6,7
device__attribute_maximum_texture2d_linear_pitch,"2,097,120","2,097,120","2,097,120","2,097,120","2,097,120","2,097,120","2,097,120","2,097,120"
device__attribute_maximum_texture2d_linear_width,"131,072","131,072","131,072","131,072","131,072","131,072","131,072","131,072"
device__attribute_maximum_texture2d_mipmapped_height,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture2d_mipmapped_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture2d_width,"131,072","131,072","131,072","131,072","131,072","131,072","131,072","131,072"
device__attribute_maximum_texture3d_depth,"16,384","16,384","16,384","16,384","16,384","16,384","16,384","16,384"
device__attribute_maximum_texture3d_depth_alternate,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texture3d_height,"16,384","16,384","16,384","16,384","16,384","16,384","16,384","16,384"
device__attribute_maximum_texture3d_height_alternate,"8,192","8,192","8,192","8,192","8,192","8,192","8,192","8,192"
device__attribute_maximum_texture3d_width,"16,384","16,384","16,384","16,384","16,384","16,384","16,384","16,384"
device__attribute_maximum_texture3d_width_alternate,"8,192","8,192","8,192","8,192","8,192","8,192","8,192","8,192"
device__attribute_maximum_texturecubemap_layered_layers,"2,046","2,046","2,046","2,046","2,046","2,046","2,046","2,046"
device__attribute_maximum_texturecubemap_layered_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_maximum_texturecubemap_width,"32,768","32,768","32,768","32,768","32,768","32,768","32,768","32,768"
device__attribute_mem_sync_domain_count,1,1,1,1,1,1,1,1
device__attribute_memory_clock_rate,"1,215,000","1,215,000","1,215,000","1,215,000","1,215,000","1,215,000","1,215,000","1,215,000"
device__attribute_memory_pools_supported,1,1,1,1,1,1,1,1
device__attribute_mempool_supported_handle_types,9,9,9,9,9,9,9,9
device__attribute_mps_enabled,0,0,0,0,0,0,0,0
device__attribute_multi_gpu_board,0,0,0,0,0,0,0,0
device__attribute_multi_gpu_board_group_id,0,0,0,0,0,0,0,0
device__attribute_multicast_supported,0,0,0,0,0,0,0,0
device__attribute_multiprocessor_count,108,108,108,108,108,108,108,108
device__attribute_num_l2s_per_fbp,8,8,8,8,8,8,8,8
device__attribute_num_schedulers_per_multiprocessor,4,4,4,4,4,4,4,4
device__attribute_num_tex_per_multiprocessor,1,1,1,1,1,1,1,1
device__attribute_numa_config,0,0,0,0,0,0,0,0
device__attribute_pageable_memory_access,0,0,0,0,0,0,0,0
device__attribute_pageable_memory_access_uses_host_page_tables,0,0,0,0,0,0,0,0
device__attribute_pci_bus_id,151,151,151,151,151,151,151,151
device__attribute_pci_device_id,0,0,0,0,0,0,0,0
device__attribute_pci_domain_id,0,0,0,0,0,0,0,0
device__attribute_ram_location,1,1,1,1,1,1,1,1
